time,BatteryUnit.battery1,decarbonization-app,profit_cvr-app,resilience-app,BatteryUnit.battery2,decarbonization-app,profit_cvr-app,resilience-app,BatteryUnit.battery3,decarbonization-app,profit_cvr-app,resilience-app,BatteryUnit.battery4,decarbonization-app,profit_cvr-app,resilience-app,BatteryUnit.battery5,decarbonization-app,profit_cvr-app,resilience-app,RatioTapChanger.reg1a,decarbonization-app,profit_cvr-app,resilience-app,RatioTapChanger.reg2a,decarbonization-app,profit_cvr-app,resilience-app,RatioTapChanger.reg3a,decarbonization-app,profit_cvr-app,resilience-app,RatioTapChanger.reg3c,decarbonization-app,profit_cvr-app,resilience-app,RatioTapChanger.reg4a,decarbonization-app,profit_cvr-app,resilience-app,RatioTapChanger.reg4c,decarbonization-app,profit_cvr-app,resilience-app
42,125000.0,125000.0,125000.0,125000.0,200000.0,200000.0,200000.0,200000.0,100000.0,100000.0,100000.0,100000.0,150000.0,150000.0,150000.0,150000.0,250000.0,250000.0,250000.0,250000.0,5,6,4,-2,0,-12,0,-4,1,-9,-2,1,-8,-12,-8,9,9,4,-3,11,-1,-13,-1,-6
43,125000.0,125000.0,125000.0,125000.0,200000.0,200000.0,200000.0,200000.0,100000.0,100000.0,100000.0,100000.0,37500.0,150000.0,0.0,150000.0,250000.0,250000.0,250000.0,250000.0,6,6,-4,2,0,-12,0,-2,1,2,-1,-3,-2,-12,-1,0,4,4,1,1,-1,-13,-1,-10
44,125000.0,125000.0,125000.0,125000.0,200000.0,200000.0,200000.0,200000.0,-49984.899,100000.0,-49984.899,100000.0,51315.982,150000.0,51315.982,150000.0,-152155.74,250000.0,-152155.74,250000.0,6,6,-6,2,-1,-12,-1,-4,1,1,0,1,2,-12,2,0,3,3,-1,2,-5,-14,-5,-10
45,-19271.78,125000.0,-19271.78,125000.0,200000.0,200000.0,200000.0,200000.0,100000.0,100000.0,100000.0,100000.0,-12117.4905,150000.0,-66156.654,150000.0,153445.56,250000.0,153445.56,250000.0,5,5,-6,-4,-2,-11,-2,-2,7,2,-3,13,8,-12,1,12,4,4,-1,3,-1,-13,-1,-2
46,74145.418,125000.0,74145.418,125000.0,200000.0,200000.0,200000.0,200000.0,100000.0,100000.0,100000.0,100000.0,0.0,150000.0,0.0,150000.0,153445.56,250000.0,203753.8,250000.0,5,6,-6,-4,4,-12,-1,10,1,1,-2,-2,9,-12,2,9,3,2,0,3,-2,-14,-2,-5
47,-26972.786,125000.0,-26972.786,125000.0,200000.0,200000.0,200000.0,200000.0,31634.989,100000.0,-36730.022,100000.0,150000.0,150000.0,150000.0,150000.0,52371.414,250000.0,52371.414,250000.0,6,6,-7,-4,4,-13,9,2,6,-13,-2,6,3,-13,2,2,3,2,3,3,-4,-14,-5,-5
48,-108646.37,125000.0,-108646.37,125000.0,175200.08000000002,175200.0,175200.32,175200.32,30426.095,100000.0,30426.095,100000.0,119029.91,150000.0,119029.91,150000.0,155218.36,250000.0,155218.36,250000.0,5,5,-7,5,6,-12,0,-3,2,-12,-1,2,4,-10,8,-5,3,3,1,3,-4,-14,-4,-14
49,0.0,125000.0,0.0,125000.0,0.2401660025,0.240166,0.24016601,0.24016601,100000.0,100000.0,100000.0,100000.0,150000.0,150000.0,150000.0,150000.0,250000.0,250000.0,250000.0,250000.0,3,3,0,1,4,-10,0,4,3,-11,-1,3,7,-9,0,7,4,4,1,4,-4,-12,-4,-10
50,-99984.866,125000.0,-99984.866,125000.0,-3.7131253e-11,0.0,-3.7131253e-11,0.0,-96760.177,100000.0,-96760.177,100000.0,150000.0,150000.0,150000.0,150000.0,250000.0,250000.0,250000.0,250000.0,4,4,-6,3,2,-11,2,0,2,-12,2,0,7,-9,14,5,4,2,4,0,-4,-13,-4,-12
51,2.8887891e-10,125000.0,2.8887891e-10,125000.0,-3.8751514e-11,0.0,-3.8751514e-11,-3.8751514e-11,-100000.0,100000.0,-100000.0,100000.0,150000.0,150000.0,150000.0,150000.0,209541.07,250000.0,222168.42,209541.07,3,3,-5,1,0,-11,-2,0,0,-12,-2,-6,9,-9,-3,7,3,3,0,0,-6,-12,-7,-11
52,-120785.64,125000.0,-120785.64,125000.0,0.0,0.0,0.0,0.0,-266.27232,100000.0,-266.27232,100000.0,64208.55,150000.0,64208.55,150000.0,58175.49535,250000.0,-5766.0062,250000.0,3,3,-6,0,0,-11,-3,0,3,-12,-4,3,5,-9,1,5,6,3,-3,6,-7,-12,-6,-9
53,-11950.909,125000.0,-11950.909,125000.0,0.0,0.0,0.0,0.0,-76743.06,100000.0,-76743.06,100000.0,150000.0,150000.0,150000.0,150000.0,68346.665,250000.0,68346.665,250000.0,2,2,-6,-1,0,-10,0,0,0,-11,0,-4,6,-8,-1,6,6,4,-1,6,-3,-12,-6,-3
54,125000.0,125000.0,125000.0,125000.0,9.6878785e-12,0.0,1.9375757e-11,0.0,100000.0,100000.0,100000.0,100000.0,150000.0,150000.0,150000.0,150000.0,-120289.66,250000.0,-120289.66,250000.0,3,3,2,-4,0,-11,-9,0,6,-12,-4,10,6,-9,-9,6,2,2,-11,1,-1,-13,-13,-1
55,12813.436249999999,125000.0,-24582.085,125000.0,3.8751514e-11,0.0,7.7503028e-11,0.0,54071.951999999976,100000.0,-83712.192,100000.0,134335.52,150000.0,134335.52,150000.0,-123341.91,250000.0,-123341.91,250000.0,3,3,-6,-2,3,-11,7,1,7,-12,-5,7,5,-7,-3,5,4,2,-3,6,2,-13,-8,4
56,-30745.921,125000.0,-30745.921,125000.0,-9.3327295e-11,0.0,-9.3327295e-11,0.0,-100000.0,100000.0,-100000.0,100000.0,150000.0,150000.0,150000.0,150000.0,-61691.271,250000.0,-61691.271,250000.0,3,3,-6,-1,6,-11,1,6,6,-12,-1,6,5,-7,-3,5,2,2,-2,1,-3,-13,-8,-3
57,9.8972194e-25,125000.0,9.8972194e-25,125000.0,6.999547e-11,0.0,1.3999094e-10,0.0,-100000.0,100000.0,-100000.0,100000.0,70938.7,70938.7,70938.711,70938.711,64158.531,250000.0,64158.531,250000.0,3,3,1,-4,2,-11,-9,2,7,-12,-10,7,5,-7,-8,5,6,2,-7,6,2,-12,-13,3
58,1.691297e-24,125000.0,1.691297e-24,125000.0,-2.5764983e-26,0.0,-2.5764983e-26,0.0,-100000.0,100000.0,-67631.299,100000.0,70938.7,0.0114194,0.011419439,0.011419439,127611.35740000001,250000.0,5222.7148,250000.0,3,3,-4,-2,7,-11,-3,7,7,-12,-5,7,5,-5,-3,5,6,1,-1,6,3,-11,-8,3
59,2.8887891e-10,125000.0,2.8887891e-10,125000.0,1.9375757e-11,0.0,7.7503028e-11,0.0,88592.095,100000.0,88592.095,100000.0,-150000.0,0.0,-150000.0,0.0,62499.99999999997,250000.0,-3.9430118e-11,250000.0,3,3,-4,-4,6,-11,6,4,2,-12,-3,2,7,-5,3,7,4,1,-6,4,-2,-11,-3,-2
60,-66148.26,125000.0,-66148.26,125000.0,1.9375757e-11,0.0,7.7503028e-11,0.0,-57230.742,100000.0,-57230.742,100000.0,150000.0,150000.0,150000.0,150000.0,-154089.47,250000.0,-154089.47,250000.0,3,3,-6,-2,7,-11,-3,7,7,-12,-6,7,5,-6,-2,5,4,2,-1,6,-1,-13,-8,-1
61,125000.0,125000.0,125000.0,125000.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,63346.3,63346.3,63346.305,63346.305,250000.0,250000.0,250000.0,250000.0,3,3,-4,-4,4,-11,-1,4,8,-12,0,8,6,-5,0,6,6,2,0,7,-4,-12,-5,-4
62,125000.0,125000.0,125000.0,125000.0,0.0,0.0,0.0,0.0,-4.408918e-26,100000.0,-4.408918e-26,100000.0,0.004788550275,0.00478855,0.0047885511,0.004788551,173441.85,250000.0,173441.85,250000.0,3,3,-4,0,6,-11,1,6,3,-12,-1,3,5,-5,-2,5,3,2,3,-4,0,-11,-6,0
63,0.0,125000.0,0.0,125000.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,250000.0,250000.0,250000.0,250000.0,3,3,-3,-2,3,-11,-1,3,0,-12,-2,0,5,-5,1,5,7,2,1,7,-2,-11,-4,-2
64,-125000.0,125000.0,-125000.0,125000.0,-3.7131253e-11,0.0,-3.7131253e-11,0.0,61878.805,100000.0,61878.805,100000.0,-119684.02,0.0,-119684.02,0.0,-102255.66,179784.0,-102255.66,179783.72,3,2,-5,3,1,-10,0,1,4,-11,4,3,6,-6,-1,6,3,3,-6,0,-1,-10,-1,-2
65,-9995.3551,125000.0,-9995.3551,125000.0,0.0,0.0,0.0,0.0,30663.49,100000.0,30663.49,100000.0,150000.0,150000.0,150000.0,150000.0,152732.97,250000.0,152732.97,250000.0,3,3,-5,-1,1,-10,0,1,7,-11,0,7,1,-7,-1,5,6,4,4,6,3,-12,-6,3
66,0.0,125000.0,0.0,125000.0,1.101453e-24,0.0,0.0,4.405812e-24,0.0,100000.0,0.0,100000.0,-3557.716,20227.6,0.0,-3557.716,172489.895,172490.0,172489.86,172489.86,3,3,2,-2,4,-11,-5,4,1,-12,-1,1,-1,-6,-5,4,3,2,-3,3,-3,-11,-10,-6
